Serving HTTP on 0.0.0.0 port 50375 (http://0.0.0.0:50375/) ...
127.0.0.1 - - [16/Jun/2025 21:15:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2025 21:15:10] "GET /assets/css/animations.css HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2025 21:15:10] "GET /assets/css/main.css HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2025 21:15:10] "GET /assets/css/strand.css HTTP/1.1" 200 -
127.0.0.1 - - [16/Jun/2025 21:15:10] "GET /assets/js/main.js HTTP/1.1" 200 -
172.17.0.1 - - [16/Jun/2025 21:15:56] "GET / HTTP/1.1" 200 -
172.17.0.1 - - [16/Jun/2025 21:16:41] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:17:01] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:18:20] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:19:11] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:19:41] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:21:34] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:22:35] "GET / HTTP/1.1" 304 -
172.17.0.1 - - [16/Jun/2025 21:23:30] "GET / HTTP/1.1" 304 -
